m	skills	        qno	seed
20	0,2,3,5,8,9,10,11,12,13,14,15,17,19,20,22,23,24,25,26,	961	seed=47
20	0,1,3,4,5,6,7,9,10,11,13,14,15,17,19,20,21,23,25,26,	940	seed=48
20	0,1,2,4,5,6,7,8,9,10,12,13,15,16,17,18,21,24,25,26,	982	seed=49
20	0,1,2,3,4,6,7,10,11,12,13,15,16,17,18,20,21,22,24,25,	758	seed=50
20	2,3,4,5,6,7,9,11,13,14,15,16,17,19,20,21,22,23,24,25,	950	seed=51
20	1,2,5,6,7,8,9,10,11,12,13,14,15,16,20,21,22,23,24,25,	987	seed=52
20	0,1,2,3,5,6,8,9,10,12,13,14,17,18,19,20,21,22,23,26,	986	seed=53
20	0,2,3,4,5,6,8,9,10,11,13,14,17,18,20,21,22,23,25,26,	987	seed=54
20	0,1,2,3,4,6,7,8,10,11,12,13,14,15,16,19,20,21,25,26,	895	seed=55
20	0,2,3,4,7,8,9,10,11,12,15,17,18,19,20,21,22,23,25,26,	932	seed=56
20	2,3,4,6,8,9,10,12,15,16,17,18,19,20,21,22,23,24,25,26,	910	seed=57
20	0,1,2,3,4,5,6,7,8,9,11,12,14,15,19,21,22,23,24,26,	1002	seed=58
20	0,3,4,5,6,7,9,10,11,12,13,14,15,16,17,20,21,23,25,26,	919	seed=59
20	2,5,7,8,9,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,	997	seed=60
20	0,1,2,4,5,6,7,8,9,11,12,13,16,17,20,21,22,23,24,26,	988	seed=61
20	2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,21,22,23,25,	1010	seed=62
20	0,2,3,4,5,7,9,10,11,13,14,15,16,17,18,19,20,21,25,26,	927	seed=63
20	0,1,2,3,4,5,8,9,11,12,15,16,17,18,20,22,23,24,25,26,	977	seed=64
20	0,1,3,4,5,6,7,8,9,12,13,14,15,18,19,20,21,22,24,25,	999	seed=65
20	0,1,3,4,7,8,9,10,11,12,13,14,16,17,19,20,21,22,23,26,	932	seed=66
20	0,1,2,3,4,5,6,7,8,11,14,17,18,19,20,21,22,23,24,26,	1003	seed=67
20	0,1,2,3,6,7,8,9,10,12,14,15,16,17,18,21,22,23,24,26,	960	seed=68
20	0,1,2,3,4,5,6,7,9,10,12,13,16,17,18,19,21,22,23,26,	958	seed=69
20	0,1,4,5,6,7,8,10,11,13,14,15,16,17,18,19,21,22,23,25,	968	seed=70
20	0,1,2,4,5,6,7,9,10,11,12,13,14,15,18,19,21,22,23,25,	949	seed=71
20	0,1,3,4,6,7,9,10,11,12,14,15,16,17,19,20,21,24,25,26,	834	seed=72
20	0,1,3,4,5,7,10,11,12,13,14,15,18,19,21,22,23,24,25,26,	915	seed=73
20	0,1,2,3,4,6,7,8,9,10,11,15,17,18,21,22,23,24,25,26,	951	seed=74
20	0,1,2,3,4,7,8,9,10,11,12,13,15,17,18,19,20,21,22,23,	933	seed=75
20	1,2,3,5,6,9,10,11,12,15,16,17,18,19,20,21,22,23,24,25,	927	seed=76
20	0,2,3,4,5,6,8,10,11,12,13,14,15,16,17,18,19,23,25,26,	974	seed=77
20	0,1,3,5,6,7,9,10,11,12,13,14,15,16,17,20,22,23,25,26,	921	seed=78
20	2,5,6,7,9,10,11,12,14,15,16,17,18,20,21,22,23,24,25,26,	929	seed=79
20	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,19,21,22,23,	1000	seed=80
20	1,3,5,6,7,8,9,10,11,12,15,16,18,19,20,21,22,23,24,25,	1003	seed=81
20	0,1,2,3,4,5,7,8,10,12,13,14,15,16,20,21,22,23,24,26,	976	seed=82
20	0,2,4,5,6,9,10,11,12,13,14,16,17,18,19,21,22,23,24,26,	931	seed=83
20	0,1,2,3,4,6,7,8,10,11,12,13,14,15,17,18,19,22,25,26,	912	seed=84
20	1,3,4,5,6,7,9,10,11,12,13,15,17,18,19,20,22,24,25,26,	946	seed=85
20	0,1,2,5,6,7,8,10,11,12,14,16,17,18,19,20,22,24,25,26,	972	seed=86
20	0,1,2,3,4,5,6,7,8,9,12,13,14,16,17,18,19,20,25,26,	999	seed=87
20	0,1,2,4,5,9,10,11,12,13,15,16,17,18,20,21,23,24,25,26,	875	seed=88
20	1,2,4,6,7,8,9,10,11,12,13,14,15,17,18,22,23,24,25,26,	934	seed=89
20	0,2,4,5,6,7,9,11,12,13,17,18,19,20,21,22,23,24,25,26,	955	seed=90
20	0,1,3,4,5,7,8,10,11,13,14,15,16,17,18,19,20,22,23,24,	991	seed=91
20	1,3,4,6,7,8,9,10,11,13,14,16,17,18,20,21,22,23,24,25,	956	seed=92
20	0,1,3,4,5,6,7,8,9,11,13,14,15,17,19,21,22,23,24,26,	1001	seed=93
20	0,1,2,3,4,5,6,7,8,10,11,12,14,15,16,19,21,23,24,26,	984	seed=94
20	0,2,3,5,6,7,8,9,11,13,14,15,17,18,19,21,23,24,25,26,	1016	seed=95
20	0,2,3,7,8,9,10,12,13,14,15,16,17,18,19,20,22,24,25,26,	923	seed=96
20	0,1,2,4,5,6,7,9,10,12,14,15,18,19,20,21,22,23,24,26,	952	seed=97
20	0,1,2,4,5,6,8,10,11,12,13,14,15,16,18,19,21,22,24,26,	935	seed=98
20	0,2,3,4,6,7,8,9,10,13,14,15,17,18,19,21,22,24,25,26,	936	seed=99
20	1,2,4,5,6,7,8,9,10,12,14,16,17,18,19,20,21,23,25,26,	992	seed=100
